label,count_train,count_val,count_test,total_count
Symphony No 1 in C minor Op 68 II Andante sostenuto,14,2,1,17
Sinfona n 7 de Beethoven Op 92 2 Allegretto,14,1,2,17
Coriolan Overture Op 62,14,2,1,17
Sinfona n 7 de Beethoven Op 92 3 Presto,14,1,2,17
Symphony No 3 in F Major Op 90 IV Allegro,14,1,2,17
Mazurkas Op 56 N 3,13,2,1,16
Variations on La Ci Darem la Mano Op 2,12,2,1,15
Waltzes Op 69 2,12,1,2,15
Dvok Serenade for Wind Instruments Op 44 III Andante con moto,12,1,2,15
La Madruga,12,2,1,15
N 1 | 3 Notturni op 9,12,1,2,15
Valsa Minuto 2,12,1,2,15
23 Variaciones sobre el carnaval de Venecia de Paganini,11,2,1,14
Polonaise in Fsharp minor Op 44,11,2,1,14
Preludes Op 20,11,1,2,14
Sinfona n 7 de Beethoven Op 92 4 Allegro con brio,10,2,1,13
Piano Sonata no 14 K 457 I Allegro,10,2,1,13
Symphony No 4 in E Minor Op 98 III Allegro giocoso,10,1,2,13
Mi Amargura Victor Ferrer,10,2,1,13
Valsa Minuto 1,10,1,2,13
Piano Sonata no 17 in BFlat Major K 570 2 Adagio,10,2,1,13
Bolero Op 19,10,1,1,12
Nocturnes Op 37 N 2,10,1,1,12
Waltzes Op 34 2,10,1,1,12
Dvok Serenade for Wind Instruments Op 44 II Minuetto,10,1,1,12
Piano Concerto no 2 in F minor Op 21 Mov 3,10,1,1,12
Waltzes Op 70 2,10,1,1,12
Mazurkas Op 63 N 2,10,1,1,12
Piano Sonata no 14 K 457 II Adagio,10,1,1,12
Mazurkas Op 63 N 3,9,1,1,11
Mazurkas Op 7 N 3,9,1,1,11
Solemnidad,9,1,1,11
Mazurkas Op 7 N 1,9,1,1,11
Piano Sonata no 7 K 309 1 Allegro,9,1,1,11
Samson and Delilah Op 47 Danse Baccanale,9,1,1,11
Funeral March in C minor Op posth 72 no 2,9,1,1,11
Nocturnes Op 62 N 1,9,1,1,11
N 7 | Etudes Op 25,9,1,1,11
Fugue in G minor Little BWV 578,9,1,1,11
Dvok Symphony no 7 Op 70 I Allegro maestoso,9,1,1,11
Mazurkas Op 56 N 1,9,1,1,11
Nocturnes Op 48 N 1,9,1,1,11
Symphony No 3 in F Major Op 90 III Poco allegretto,9,1,1,11
Requiem Mozart VIII Communio Lux aeterna MozartSssmayr,8,1,1,10
Mazurkas Op 24 N 2,8,1,1,10
Nocturnes Op 27 N 1,8,1,1,10
Mazurkas Op 6 N 2,8,1,1,10
Danse Macabre Op 40,8,1,1,10
Preludes Op 28 6,8,1,1,10
March for Military Band WoO 24,8,1,1,10
Waltzes Op 69 1,8,1,1,10
Piano Sonata no 14 K 457 III Molto allegro,8,1,1,10
47 Sueo Trmolo,8,1,1,10
Impromptu no 3 in Gflat major Op 51,8,1,1,10
Mazurkas Op 63 N 1,8,1,1,10
07 La cartagenera,8,1,1,10
Toccata and Fugue in D minor BWV 565,7,1,1,9
Symphony No 1 in C minor Op 68 III Un poco allegretto e grazioso,7,1,1,9
Symphony no 1 in C major Op 21 III Minuetto and trio,7,1,1,9
Beethoven Symphony no 1 in C major Op 21 III Minuetto and trio,7,1,1,9
Waltzes Op 70 1,7,1,1,9
Symphony no 2 in D major Op 73 III Allegretto Grazioso,7,1,1,9
Berceuse Op 57,7,1,1,9
Piano Sonata no 2 in Bflat minor Funeral March op 35 MOV 4,6,1,1,8
Requiem Mozart VII Agnus Dei MozartSssmayr,6,1,1,8
Agarrate Saxo,6,1,1,8
Nocturnes Op 15 N 3,6,1,1,8
Preludes Op 28 21,6,1,1,8
Mazurkas Op 6 N 3,6,1,1,8
Mazurkas Op 56 N 2,6,1,1,8
Mazurkas Op 7 N 2,6,1,1,8
Dvok Serenade for Wind Instruments Op 44 I Moderato quasi Marcia,6,1,1,8
